Fecha,Producto,Cantidad,Precio Unitario,Ciudad
31/03/2024,Cámara instantánea,4,918,Veracruz
01/04/2024,Kit de domótica,2,185,Yucatán
02/04/2024,Adaptador de carga rápida,5,2527,Zacatecas
03/04/2024,Cargador solar,3,1584,Aguascalientes
04/04/2024,Parlante portátil sumergible,4,2300,Baja California
05/04/2024,Controlador de videojuegos retro,2,1074,Baja California Sur
06/04/2024,Mouse ergonómico,5,301,Campeche
07/04/2024,Deshumidificador inteligente,3,2472,Chiapas
08/04/2024,Batería de respaldo para PC,4,930,Chihuahua
09/04/2024,Escáner 3D,2,1890,Coahuila
